id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to UChicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,110,3,207,2022-09-09,2.21,1,320,19,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,91,2,459,2022-08-28,2.86,1,320,51,R21000075737
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,157,4,56,2022-08-23,0.55,9,137,23,2209984
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92357,-87.64947,Private room,329,2,13,2022-09-12,0.15,1,165,6,R20000055258
24833,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,,Lincoln Park,41.925961,-87.656364,Entire home/apt,86,32,40,2022-04-23,0.27,3,306,2,City registration pending
25879,2/1 One  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,94,32,49,2022-05-14,0.33,3,294,2,City registration pending
28749,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Lauri,,Logan Square,41.921371911091725,-87.67932300437006,Entire home/apt,203,2,157,2022-09-11,1.09,1,326,47,R22000079930
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97303,-87.66567,Private room,110,3,250,2020-03-15,1.69,2,0,0,R20000059426
67940,Lovely 1BR Private Condo Steps From McCormick Pl!,183546418,Molly,,Near South Side,41.84576,-87.61871,Entire home/apt,89,1,102,2022-09-07,0.74,1,133,71,City registration pending
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,77,2,93,2022-08-22,0.68,2,328,14,R17000013986
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,66,2,117,2022-08-20,0.84,2,304,27,R17000013986
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,113,14,3,2022-08-28,1.67,1,126,3,R22000082956
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,266,2,50,2022-08-29,0.59,22,348,8,2209272
